AAPL,AMZN
71.932503,2372.709961
73.449997,2474
72.267502,2286.040039
73.290001,2315.98999
74.389999,2317.800049
75.157501,2351.26001
75.934998,2367.610107
77.532501,2379.610107
78.752502,2409
77.852501,2356.949951
76.912498,2367.919922
77.385002,2388.850098
76.927498,2409.780029
78.739998,2426.26001
78.285004,2449.330078
79.807503,2497.939941
79.212502,2446.73999
79.722504,2436.879883
79.182503,2421.860107
79.527496,2410.389893
79.5625,2401.100098
79.485001,2442.370117
80.462502,2471.040039
80.834999,2472.409912
81.279999,2478.399902
80.580002,2460.600098
82.875,2483
83.364998,2524.060059
85.997498,2600.860107
88.209999,2647.449951
83.974998,2557.959961
84.699997,2545.02002
85.747498,2572.679932
88.019997,2615.27002
87.897499,2640.97998
87.932503,2653.97998
87.43,2675.01001
89.717499,2713.820068
91.6325,2764.409912
90.014999,2734.399902
91.209999,2754.580078
88.407501,2692.870117
90.445,2680.379883
91.199997,2758.820068
91.027496,2878.699951
91.027496,2890.300049
93.462502,3057.040039
93.172501,3000.120117
95.342499,3081.110107
95.752502,3182.629883
95.919998,3200
95.477501,3104
97.057503,3084
97.724998,3008.870117
96.522499,2999.899902
96.327499,2961.969971
98.357498,3196.840088
97,3138.290039
97.272499,3099.909912
92.845001,2986.550049
92.614998,3008.909912
94.809998,3055.209961
93.252502,3000.330078
95.040001,3033.530029
96.190002,3051.879883
106.260002,3164.679932
108.9375,3111.889893
109.665001,3138.830078
110.0625,3205.030029
113.902496,3225
111.112503,3167.459961
112.727501,3148.159912
109.375,3080.669922
113.010002,3162.23999
115.010002,3161.02002
114.907501,3148.02002
114.607498,3182.409912
115.5625,3312.48999
115.707497,3260.47998
118.275002,3297.370117
124.370003,3284.719971
125.857498,3307.459961
124.824997,3346.48999
126.522499,3441.850098
125.010002,3400
124.807503,3401.800049
129.039993,3450.959961
134.179993,3499.120117
131.399994,3531.449951
120.879997,3368
120.959999,3294.620117
112.82,3149.840088
117.32,3268.610107
113.489998,3175.110107
112,3116.219971
115.360001,3102.969971
115.540001,3156.129883
112.129997,3078.100098
110.339996,3008.72998
106.839996,2954.909912
110.080002,2960.469971
111.809998,3128.98999
107.120003,2999.860107
108.220001,3019.790039
112.279999,3095.129883
114.959999,3174.050049
114.089996,3144.879883
115.809998,3148.72998
116.790001,3221.26001
113.019997,3125
116.5,3199.199951
113.160004,3099.959961
115.080002,3195.689941
114.970001,3190.550049
116.970001,3286.649902
124.400002,3442.929932
121.099998,3443.629883
121.190002,3363.709961
120.709999,3338.649902
119.019997,3272.709961
115.980003,3207.209961
117.510002,3217.01001
116.870003,3184.939941
115.75,3176.399902
115.040001,3204.399902
115.050003,3207.040039
116.599998,3286.330078
111.199997,3162.780029
115.32,3211.01001
108.860001,3036.149902
108.769997,3004.47998
110.440002,3048.409912
114.949997,3241.159912
119.029999,3322
118.690002,3311.370117
116.32,3143.73999
115.970001,3035.02002
119.489998,3137.389893
119.209999,3110.280029
119.260002,3128.810059
120.300003,3131.060059
119.389999,3135.659912
118.029999,3105.459961
118.639999,3117.02002
117.339996,3099.399902
113.849998,3098.389893
115.169998,3118.060059
116.029999,3185.070068
116.589996,3195.340088
119.050003,3168.040039
122.720001,3220.080078
123.080002,3203.530029
122.940002,3186.72998
122.25,3162.580078
123.75,3158
124.379997,3177.290039
121.779999,3104.199951
123.239998,3101.48999
122.410004,3116.419922
121.779999,3156.969971
127.879997,3165.120117
127.809998,3240.959961
128.699997,3236.080078
126.660004,3201.649902
128.229996,3206.179932
131.880005,3206.52002
130.960007,3185.27002
131.970001,3172.689941
136.690002,3283.959961
134.869995,3322
133.720001,3285.850098
132.690002,3256.929932
129.410004,3186.629883
131.009995,3218.51001
126.599998,3138.379883
130.919998,3162.159912
132.050003,3182.699951
128.979996,3114.209961
128.800003,3120.830078
130.889999,3165.889893
128.910004,3127.469971
127.139999,3104.25
127.830002,3120.76001
132.029999,3263.379883
136.869995,3306.98999
139.070007,3292.22998
142.919998,3294
143.160004,3326.129883
142.059998,3232.580078
137.089996,3237.620117
131.960007,3206.199951
134.139999,3342.879883
134.990005,3380
133.940002,3312.530029
137.389999,3331
136.759995,3352.149902
136.910004,3322.939941
136.009995,3305
135.389999,3286.580078
135.130005,3262.129883
135.369995,3277.709961
133.190002,3268.949951
130.839996,3308.639893
129.710007,3328.22998
129.869995,3249.899902
126,3180.73999
125.860001,3194.5
125.349998,3159.530029
120.989998,3057.159912
121.260002,3092.929932
127.790001,3146.139893
125.120003,3094.530029
122.059998,3005
120.129997,2977.570068
121.419998,3000.459961
116.360001,2951.949951
121.089996,3062.850098
119.980003,3057.639893
121.959999,3113.590088
121.029999,3089.48999
123.989998,3081.679932
125.57,3091.860107
124.760002,3135.72998
120.529999,3027.98999
119.989998,3074.959961
123.389999,3110.870117
122.540001,3137.5
120.089996,3087.070068
120.589996,3046.26001
121.209999,3052.030029
121.389999,3075.72998
119.900002,3055.290039
122.150002,3094.080078
123,3161
125.900002,3226.72998
126.209999,3223.820068
127.900002,3279.389893
130.360001,3299.300049
133,3372.199951
131.240005,3379.389893
134.429993,3400
132.029999,3333
134.5,3379.090088
134.160004,3399.439941
134.839996,3372.01001
133.110001,3334.689941
133.5,3362.02002
131.940002,3309.040039
134.320007,3340.879883
134.720001,3409
134.389999,3417.429932
133.580002,3458.5
132.789993,3467.235107
